,ID,time,x,y
0,1.0,0.0,907.1774291992188,1466.5645751953125
5,6.0,0.0,1114.3521728515625,875.6760864257812
6,7.0,0.0,1049.22216796875,860.7936401367188
7,8.0,0.0,1085.763671875,766.5090942382812
12,1.0,1.0,910.5454711914062,1466.4241943359375
16,6.0,1.0,1114.9630126953125,875.6419677734375
17,7.0,1.0,1049.3333740234375,861.6666870117188
18,8.0,1.0,1084.673095703125,765.3076782226562
23,1.0,2.0,914.1972045898438,1465.9295654296875
25,13.0,2.0,1403.25,1233.5357666015625
27,6.0,2.0,1114.3477783203125,875.4058227539062
28,7.0,2.0,1049.047607421875,862.7142944335938
29,8.0,2.0,1082.176513671875,763.3921508789062
34,1.0,3.0,917.2083129882812,1466.7083740234375
36,13.0,3.0,1402.8857421875,1234.3428955078125
39,6.0,3.0,1114.06494140625,875.2467651367188
40,7.0,3.0,1049.565185546875,862.5072631835938
41,8.0,3.0,1079.5,762.0961303710938
47,1.0,4.0,918.5540771484376,1468.4189453125
49,13.0,4.0,1402.3792724609375,1233.413818359375
54,6.0,4.0,1114.011474609375,874.712646484375
55,7.0,4.0,1049.8714599609375,862.7857055664062
56,8.0,4.0,1078.26416015625,760.2830200195312
60,1.0,5.0,919.63232421875,1469.2059326171875
63,13.0,5.0,1403.028564453125,1233.7427978515625
68,6.0,5.0,1113.608642578125,873.9238891601562
69,7.0,5.0,1050.0758056640625,863.5908813476562
70,8.0,5.0,1076.6077880859375,757.2745361328125
74,1.0,6.0,920.0,1468.965576171875
77,13.0,6.0,1403.138916015625,1234.3055419921875
79,6.0,6.0,1112.505126953125,873.0103149414062
80,7.0,6.0,1048.793701171875,865.6984252929688
81,8.0,6.0,1075.0196533203125,755.6470336914062
86,1.0,7.0,919.4259033203124,1468.129638671875
89,13.0,7.0,1402.28125,1233.84375
92,6.0,7.0,1111.521240234375,871.8829956054688
93,7.0,7.0,1048.0615234375,867.1384887695312
94,8.0,7.0,1073.2962646484375,754.2222290039062
99,1.0,8.0,919.4898071289062,1468.3876953125
102,13.0,8.0,1403.433349609375,1233.7667236328125
103,6.0,8.0,1112.6739501953125,872.1087036132812
